"MMSI","IMO","IR","Ship Name","Call Sign",
"538006746","9133850","N/A","CS DEVELOPMENT","V7QW3",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 23:52:10Z","1.26167","103.59","N/A","N/A","Sat-AIS",
"2018-08-13 14:19:14Z","1.26167","103.59333","N/A","N/A","Sat-AIS",
"2018-08-13 13:16:11Z","1.26333","103.59167","N/A","N/A","Sat-AIS",
"2018-08-13 02:13:13Z","1.26333","103.59167","N/A","N/A","Sat-AIS",
"2018-08-13 02:10:12Z","1.26333","103.59167","N/A","N/A","Sat-AIS",
"2018-08-13 02:07:12Z","1.26333","103.59167","N/A","N/A","Sat-AIS",
"MMSI","IMO","IR","Ship Name","Call Sign",
"477462300","9486518","N/A","NEW VIGOROUS","VRJU3",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 23:41:25Z","-29.34176","45.83054","64","13.6","Sat-AIS",
"2018-08-13 23:26:14Z","-29.36724","45.77133","61.4","13.9","Sat-AIS",
"2018-08-13 23:05:57Z","-29.40369","45.69172","63.4","14","Sat-AIS",
"2018-08-13 22:49:15Z","-29.43426","45.62732","61.9","14","Sat-AIS",
"2018-08-13 22:44:43Z","-29.44224","45.61005","62.3","13.9","Sat-AIS",
"2018-08-13 22:43:26Z","-29.44456","45.605","61.5","13.8","Sat-AIS",
"2018-08-13 22:43:19Z","-29.44478","45.60456","63.2","13.8","Sat-AIS",
"2018-08-13 22:42:49Z","-29.4456","45.60267","62.8","14","Sat-AIS",
"2018-08-13 22:42:31Z","-29.44615","45.60149","62.9","13.9","Sat-AIS",
"2018-08-13 22:42:26Z","-29.44633","45.60109","62.9","14","Sat-AIS",
"2018-08-13 22:42:19Z","-29.44648","45.60069","61.3","13.9","Sat-AIS",
"2018-08-13 22:42:02Z","-29.44705","45.59946","62","13.9","Sat-AIS",
"2018-08-13 22:41:56Z","-29.44724","45.59907","62.4","13.8","Sat-AIS",
"2018-08-13 22:41:49Z","-29.44741","45.5987","62.8","13.8","Sat-AIS",
"2018-08-13 22:41:43Z","-29.44757","45.59834","63","14","Sat-AIS",
"2018-08-13 22:41:37Z","-29.44774","45.59795","62.3","13.9","Sat-AIS",
"2018-08-13 22:41:31Z","-29.44792","45.59755","62","13.8","Sat-AIS",
"2018-08-13 22:41:26Z","-29.44811","45.59717","63.5","14","Sat-AIS",
"2018-08-13 22:41:14Z","-29.44841","45.59646","62.2","13.9","Sat-AIS",
"2018-08-13 22:41:02Z","-29.44877","45.59569","63.5","13.9","Sat-AIS",
"2018-08-13 22:40:49Z","-29.44912","45.59482","62.5","13.8","Sat-AIS",
"2018-08-13 22:40:43Z","-29.44927","45.59449","62.8","13.8","Sat-AIS",
"2018-08-13 22:40:37Z","-29.44947","45.59404","63.1","14","Sat-AIS",
"2018-08-13 22:40:31Z","-29.44961","45.5937","62.5","13.9","Sat-AIS",
"2018-08-13 22:40:02Z","-29.45051","45.59174","62.9","13.7","Sat-AIS",
"2018-08-13 22:39:56Z","-29.45068","45.59136","63.6","13.9","Sat-AIS",
"2018-08-13 22:39:49Z","-29.45083","45.59096","62","13.9","Sat-AIS",
"2018-08-13 22:39:43Z","-29.45103","45.59058","63.2","13.8","Sat-AIS",
"2018-08-13 22:39:31Z","-29.45138","45.58979","63.6","13.9","Sat-AIS",
"2018-08-13 22:39:26Z","-29.45157","45.58932","62.2","13.8","Sat-AIS",
"2018-08-13 22:39:25Z","-29.45157","45.58932","62.2","13.8","Sat-AIS",
"2018-08-13 22:39:14Z","-29.45189","45.58861","63.1","13.9","Sat-AIS",
"2018-08-13 22:39:08Z","-29.45205","45.58821","61.9","13.9","Sat-AIS",
"2018-08-13 22:39:05Z","-29.45215","45.58802","62.6","13.9","Sat-AIS",
"2018-08-13 22:39:05Z","-29.45215","45.58802","62.6","13.9","Sat-AIS",
"2018-08-13 22:39:02Z","-29.45224","45.58782","63.3","13.9","Sat-AIS",
"2018-08-13 22:38:56Z","-29.4524","45.58743","62.8","13.8","Sat-AIS",
"2018-08-13 22:38:49Z","-29.4526","45.58697","62.4","14","Sat-AIS",
"2018-08-13 22:38:43Z","-29.45277","45.58659","62.7","14","Sat-AIS",
