"MMSI","IMO","IR","Ship Name","Call Sign",
"241436000","9776559","N/A","SOPHIA","SVCK2",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 12:30:00Z","-16.04867","-17.26267","130","13","LRIT",
"2018-08-13 06:30:00Z","-15.23067","-18.27267","130","12.4","LRIT",
"2018-08-13 00:32:00Z","-14.38533","-19.244","129","12.8","LRIT",
"MMSI","IMO","IR","Ship Name","Call Sign",
"229780000","9235737","N/A","SKOPELOS","9HA3602",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 23:49:03Z","-1.24052","7.75175","342.5","7.1","Sat-AIS",
"2018-08-13 23:40:11Z","-1.25708","7.75713","342.1","7","Sat-AIS",
"2018-08-13 23:03:23Z","-1.32568","7.77836","344.3","7","Sat-AIS",
"2018-08-13 23:03:23Z","-1.32568","7.77836","344.3","7","Sat-AIS",
"2018-08-13 22:59:22Z","-1.33308","7.78073","344","6.9","Sat-AIS",
"2018-08-13 22:58:30Z","-1.33466","7.78123","343.9","6.9","Sat-AIS",
"2018-08-13 22:56:42Z","-1.33801","7.7823","341.7","6.9","Sat-AIS",
"2018-08-13 22:55:41Z","-1.33986","7.78288","342.1","6.9","Sat-AIS",
"2018-08-13 22:55:22Z","-1.34047","7.78308","343.8","6.9","Sat-AIS",
"2018-08-13 22:55:21Z","-1.34047","7.78308","343.8","6.9","Sat-AIS",
"2018-08-13 22:55:11Z","-1.34081","7.78319","343","6.9","Sat-AIS",
"2018-08-13 22:55:10Z","-1.34081","7.78319","343","6.9","Sat-AIS",
"2018-08-13 22:55:00Z","-1.34111","7.78329","342.8","6.9","Sat-AIS",
"2018-08-13 22:54:51Z","-1.34138","7.78338","344.4","6.8","Sat-AIS",
"2018-08-13 22:54:22Z","-1.34231","7.78366","340.2","6.8","Sat-AIS",
"2018-08-13 22:54:21Z","-1.34231","7.78366","340.2","6.8","Sat-AIS",
"2018-08-13 22:54:11Z","-1.34265","7.78376","339.9","6.8","Sat-AIS",
"2018-08-13 22:53:10Z","-1.34449","7.78432","342.5","6.8","Sat-AIS",
"2018-08-13 22:52:32Z","-1.34572","7.78469","342.4","6.9","Sat-AIS",
"2018-08-13 22:52:32Z","-1.34572","7.78469","342.4","6.9","Sat-AIS",
"2018-08-13 22:52:11Z","-1.34633","7.78487","343.5","6.9","Sat-AIS",
"2018-08-13 22:52:11Z","-1.34633","7.78487","343.5","6.9","Sat-AIS",
"2018-08-13 22:52:10Z","-1.34633","7.78487","343.5","6.9","Sat-AIS",
"2018-08-13 22:50:01Z","-1.35033","7.7861","340.7","6.9","Sat-AIS",
"2018-08-13 22:49:11Z","-1.35185","7.78659","342.2","6.9","Sat-AIS",
"2018-08-13 21:18:52Z","-1.51948","7.83702","342.4","7","Sat-AIS",
"2018-08-13 21:16:12Z","-1.52449","7.83849","346.1","7","Sat-AIS",
"2018-08-13 21:15:12Z","-1.52638","7.83904","343.3","7","Sat-AIS",
"2018-08-13 21:14:51Z","-1.52708","7.83925","343.6","7.1","Sat-AIS",
"2018-08-13 21:14:12Z","-1.52828","7.83959","343.7","7","Sat-AIS",
"2018-08-13 21:10:52Z","-1.53466","7.84145","344.1","7","Sat-AIS",
"2018-08-13 20:29:53Z","-1.61251","7.86428","343.6","7","Sat-AIS",
"2018-08-13 20:29:53Z","-1.61251","7.86428","343.6","7","Sat-AIS",
"2018-08-13 20:29:44Z","-1.61279","7.86435","343.5","7","Sat-AIS",
"2018-08-13 20:29:32Z","-1.61313","7.86445","343.4","7","Sat-AIS",
"2018-08-13 20:29:23Z","-1.61345","7.86455","343.3","7","Sat-AIS",
"2018-08-13 20:29:02Z","-1.61411","7.86473","345.3","7","Sat-AIS",
"2018-08-13 20:28:02Z","-1.61596","7.86526","344.8","7","Sat-AIS",
"2018-08-13 20:27:34Z","-1.61689","7.86551","343.4","7","Sat-AIS",
"2018-08-13 20:05:43Z","-1.65854","7.87656","344.2","6.9","Sat-AIS",
"2018-08-13 19:58:04Z","-1.67304","7.8805","346.2","7","Sat-AIS",
"2018-08-13 19:45:12Z","-1.69746","7.887","347.1","7","Sat-AIS",
"2018-08-13 19:45:12Z","-1.69746","7.887","347.1","7","Sat-AIS",
"2018-08-13 19:44:20Z","-1.69909","7.88742","343.9","7","Sat-AIS",
"2018-08-13 19:44:20Z","-1.69909","7.88742","343.9","7","Sat-AIS",
"2018-08-13 19:44:12Z","-1.69938","7.8875","345.8","7","Sat-AIS",
"2018-08-13 19:44:01Z","-1.69973","7.8876","345","7.1","Sat-AIS",
"2018-08-13 19:42:41Z","-1.70226","7.88826","343.5","7.1","Sat-AIS",
"2018-08-13 19:42:32Z","-1.70255","7.88834","346.6","7","Sat-AIS",
"2018-08-13 19:42:32Z","-1.70255","7.88834","346.6","7","Sat-AIS",
"2018-08-13 19:41:32Z","-1.70448","7.88884","346.2","7.1","Sat-AIS",
"2018-08-13 19:41:32Z","-1.70448","7.88884","346.2","7.1","Sat-AIS",
"2018-08-13 19:41:01Z","-1.70547","7.8891","346.1","7","Sat-AIS",
"2018-08-13 19:40:32Z","-1.7064","7.88933","346.9","7.1","Sat-AIS",
"2018-08-13 19:40:32Z","-1.7064","7.88933","346.9","7.1","Sat-AIS",
"2018-08-13 19:39:41Z","-1.70804","7.88975","344.6","7","Sat-AIS",
"2018-08-13 19:35:34Z","-1.71602","7.89196","343.1","7.1","Sat-AIS",
"2018-08-13 19:32:13Z","-1.72238","7.89401","341.8","7.2","Sat-AIS",
"2018-08-13 19:23:12Z","-1.73959","7.89988","341.5","7.2","Sat-AIS",
"2018-08-13 19:03:12Z","-1.77804","7.91262","341.6","7.2","Sat-AIS",
"2018-08-13 19:00:41Z","-1.78284","7.91422","342.6","7.2","Sat-AIS",
"2018-08-13 18:51:23Z","-1.80072","7.92019","342.3","7.2","Sat-AIS",
"2018-08-13 18:50:12Z","-1.80294","7.92093","340.9","7.1","Sat-AIS",
"2018-08-13 18:47:23Z","-1.80831","7.92271","340","7.1","Sat-AIS",
