"MMSI","IMO","IR","Ship Name","Call Sign",
"563950000","9532599","N/A","YUAN ZHUO HAI","ZJL8035",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 23:54:54Z","-2.94971","-37.42706","113.4","10.7","Sat-AIS",
"2018-08-13 23:36:16Z","-2.92728","-37.4781","113.5","10.7","Sat-AIS",
"2018-08-13 23:36:13Z","-2.92667","-37.47667","113","5","Sat-AIS",
"2018-08-13 23:35:55Z","-2.92687","-37.47902","113.8","10.7","Sat-AIS",
"2018-08-13 23:35:36Z","-2.92648","-37.47993","114","10.7","Sat-AIS",
"2018-08-13 23:35:25Z","-2.92628","-37.48039","113.8","10.7","Sat-AIS",
"2018-08-13 23:35:06Z","-2.92589","-37.48129","113.2","10.7","Sat-AIS",
"2018-08-13 23:34:55Z","-2.9257","-37.48174","113.5","10.7","Sat-AIS",
"2018-08-13 23:34:45Z","-2.92551","-37.48219","113.4","10.7","Sat-AIS",
"2018-08-13 23:34:36Z","-2.92532","-37.48264","113.2","10.7","Sat-AIS",
"2018-08-13 23:33:25Z","-2.92391","-37.48582","113.7","10.7","Sat-AIS",
"2018-08-13 23:33:13Z","-2.92333","-37.485","113","5","Sat-AIS",
"2018-08-13 23:32:55Z","-2.9233","-37.48724","113","10.7","Sat-AIS",
"2018-08-13 23:32:45Z","-2.92312","-37.48766","113.1","10.7","Sat-AIS",
"2018-08-13 23:32:25Z","-2.92272","-37.48856","113.3","10.7","Sat-AIS",
"2018-08-13 23:32:05Z","-2.92231","-37.48953","113.6","10.7","Sat-AIS",
"2018-08-13 23:30:35Z","-2.92053","-37.49367","113.1","10.7","Sat-AIS",
"2018-08-13 23:20:36Z","-2.90874","-37.52099","113.2","10.7","Sat-AIS",
"2018-08-13 23:04:34Z","-2.89004","-37.56515","113.2","10.7","Sat-AIS",
"2018-08-13 23:03:11Z","-2.88833","-37.56833","114","5","Sat-AIS",
"2018-08-13 23:00:11Z","-2.88333","-37.57667","114","5","Sat-AIS",
"2018-08-13 22:58:15Z","-2.88224","-37.5824","114.2","10.7","Sat-AIS",
"2018-08-13 22:58:15Z","-2.88224","-37.5824","114.2","10.7","Sat-AIS",
"2018-08-13 22:44:26Z","-2.8653","-37.62026","113.7","10.7","Sat-AIS",
"2018-08-13 22:19:35Z","-2.83551","-37.68783","115.3","10.5","Sat-AIS",
"2018-08-13 22:18:16Z","-2.83387","-37.69138","114.9","10.5","Sat-AIS",
"2018-08-13 22:06:44Z","-2.82004","-37.72157","114.3","10.3","Sat-AIS",
"2018-08-13 22:00:46Z","-2.8132","-37.73719","112.2","10.2","Sat-AIS",
"2018-08-13 22:00:13Z","-2.81167","-37.73834","112","5","Sat-AIS",
"2018-08-13 21:59:15Z","-2.81156","-37.74117","112.3","10.2","Sat-AIS",
"2018-08-13 21:57:13Z","-2.80833","-37.745","112","5","Sat-AIS",
"2018-08-13 21:56:54Z","-2.80901","-37.74732","112.8","10.2","Sat-AIS",
