"MMSI","IMO","IR","Ship Name","Call Sign",
"538004972","9048122","N/A","STELLAR TOPAZ","V7AD6",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 23:52:41Z","-29.9667","3.51044","117.1","10","Sat-AIS",
"2018-08-13 23:51:41Z","-29.96548","3.5076","116","10","Sat-AIS",
"2018-08-13 23:51:21Z","-29.96508","3.50663","117.2","9.9","Sat-AIS",
"2018-08-13 23:51:21Z","-29.96508","3.50663","117.2","9.9","Sat-AIS",
"2018-08-13 23:51:21Z","-29.96508","3.50663","117.2","9.9","Sat-AIS",
"2018-08-13 23:51:11Z","-29.96487","3.50616","117.3","9.9","Sat-AIS",
"2018-08-13 23:50:51Z","-29.96446","3.50522","115.4","9.9","Sat-AIS",
"2018-08-13 23:50:12Z","-29.96366","3.50336","115.1","9.8","Sat-AIS",
"2018-08-13 23:49:41Z","-29.96304","3.50188","117","9.9","Sat-AIS",
"2018-08-13 23:49:21Z","-29.96263","3.50091","115.9","9.8","Sat-AIS",
"2018-08-13 23:49:12Z","-29.96245","3.50048","117.1","9.8","Sat-AIS",
"2018-08-13 23:49:12Z","-29.96245","3.50048","117.1","9.8","Sat-AIS",
"2018-08-13 23:49:02Z","-29.96226","3.5","116.1","9.9","Sat-AIS",
"2018-08-13 23:48:41Z","-29.96184","3.49904","114.5","9.8","Sat-AIS",
"2018-08-13 23:48:20Z","-29.96146","3.49808","117.3","9.8","Sat-AIS",
"2018-08-13 23:48:02Z","-29.96106","3.49719","115.3","10","Sat-AIS",
"2018-08-13 23:47:51Z","-29.96084","3.49668","115.4","9.9","Sat-AIS",
"2018-08-13 23:47:51Z","-29.96084","3.49668","115.4","9.9","Sat-AIS",
"2018-08-13 23:47:41Z","-29.96063","3.49619","116.9","10","Sat-AIS",
"2018-08-13 23:47:12Z","-29.96003","3.49479","116.5","9.9","Sat-AIS",
"2018-08-13 23:47:02Z","-29.95982","3.49432","115.2","9.9","Sat-AIS",
"2018-08-13 23:46:51Z","-29.95959","3.49379","114.9","10","Sat-AIS",
"2018-08-13 23:46:51Z","-29.95959","3.49379","114.9","10","Sat-AIS",
"2018-08-13 23:46:51Z","-29.95959","3.49379","114.9","10","Sat-AIS",
"2018-08-13 23:46:51Z","-29.95959","3.49379","114.9","10","Sat-AIS",
"2018-08-13 23:46:20Z","-29.95899","3.49237","114.4","10","Sat-AIS",
"2018-08-13 23:46:20Z","-29.95899","3.49237","114.4","10","Sat-AIS",
"2018-08-13 23:46:12Z","-29.9588","3.49194","113.5","9.9","Sat-AIS",
"2018-08-13 23:46:12Z","-29.9588","3.49194","113.5","9.9","Sat-AIS",
"2018-08-13 23:46:12Z","-29.9588","3.49194","113.5","9.9","Sat-AIS",
"2018-08-13 23:46:12Z","-29.9588","3.49194","113.5","9.9","Sat-AIS",
"2018-08-13 23:46:02Z","-29.95859","3.49145","114.1","9.8","Sat-AIS",
"2018-08-13 23:45:51Z","-29.95839","3.49093","115.9","9.8","Sat-AIS",
"2018-08-13 23:45:20Z","-29.9578","3.48948","116.4","9.9","Sat-AIS",
"2018-08-13 23:44:51Z","-29.95716","3.48807","116.8","10","Sat-AIS",
"2018-08-13 23:38:51Z","-29.94958","3.47119","118.7","9.8","Sat-AIS",
"2018-08-13 23:38:50Z","-29.94958","3.47119","118.7","9.8","Sat-AIS",
"2018-08-13 23:31:51Z","-29.94022","3.45167","115.2","10.1","Sat-AIS",
"2018-08-13 23:30:50Z","-29.93901","3.44879","116.7","9.9","Sat-AIS",
"2018-08-13 23:08:29Z","-29.91025","3.38368","115.3","10.6","Sat-AIS",
"2018-08-13 23:08:20Z","-29.91004","3.38318","115.9","10.7","Sat-AIS",
"2018-08-13 23:07:58Z","-29.90957","3.38206","116.3","10.6","Sat-AIS",
"2018-08-13 23:07:49Z","-29.90936","3.38161","116.9","10.6","Sat-AIS",
"2018-08-13 23:07:39Z","-29.90915","3.38117","115.8","10.6","Sat-AIS",
"2018-08-13 23:07:18Z","-29.90869","3.3801","118.3","10.6","Sat-AIS",
"2018-08-13 23:07:08Z","-29.90847","3.3796","118.4","10.6","Sat-AIS",
"2018-08-13 23:06:59Z","-29.90825","3.3791","118.7","10.6","Sat-AIS",
"2018-08-13 23:06:49Z","-29.90803","3.3786","119.1","10.6","Sat-AIS",
"2018-08-13 23:06:39Z","-29.90783","3.37816","117.9","10.6","Sat-AIS",
"2018-08-13 23:06:18Z","-29.90736","3.3771","118.4","10.8","Sat-AIS",
"2018-08-13 23:05:59Z","-29.90692","3.37608","119.8","10.6","Sat-AIS",
"2018-08-13 23:05:50Z","-29.90669","3.37558","119.5","10.6","Sat-AIS",
"2018-08-13 23:05:49Z","-29.90669","3.37558","119.5","10.6","Sat-AIS",
"2018-08-13 23:05:39Z","-29.90649","3.37513","118.4","10.7","Sat-AIS",
"2018-08-13 23:05:29Z","-29.90622","3.37452","117.5","10.5","Sat-AIS",
"2018-08-13 23:05:19Z","-29.90601","3.37407","119.1","10.6","Sat-AIS",
"2018-08-13 23:04:49Z","-29.90533","3.37256","117.9","10.5","Sat-AIS",
"2018-08-13 23:04:28Z","-29.90485","3.37151","117.4","10.5","Sat-AIS",
"2018-08-13 23:04:18Z","-29.90464","3.37106","115.8","10.7","Sat-AIS",
"2018-08-13 23:03:49Z","-29.90396","3.36956","115.3","10.5","Sat-AIS",
"2018-08-13 23:03:40Z","-29.90373","3.36905","114.2","10.6","Sat-AIS",
"2018-08-13 23:03:09Z","-29.90309","3.36753","115.6","10.6","Sat-AIS",
"2018-08-13 23:02:59Z","-29.90287","3.36703","116","10.7","Sat-AIS",
"2018-08-13 23:02:49Z","-29.90265","3.36652","116.4","10.6","Sat-AIS",
"2018-08-13 23:02:39Z","-29.90244","3.36601","117.7","10.5","Sat-AIS",
"2018-08-13 23:02:29Z","-29.90219","3.36545","118.8","10.5","Sat-AIS",
"2018-08-13 23:02:19Z","-29.902","3.365","118.7","10.7","Sat-AIS",
"2018-08-13 23:01:19Z","-29.90061","3.36201","120.6","10.5","Sat-AIS",
"2018-08-13 23:01:19Z","-29.90061","3.36201","120.6","10.5","Sat-AIS",
"2018-08-13 23:01:09Z","-29.90037","3.36152","120.2","10.6","Sat-AIS",
"2018-08-13 23:00:58Z","-29.90012","3.36103","118.8","10.7","Sat-AIS",
"2018-08-13 23:00:20Z","-29.89917","3.35906","117.4","10.5","Sat-AIS",
"2018-08-13 23:00:19Z","-29.89917","3.35906","117.4","10.5","Sat-AIS",
"2018-08-13 23:00:10Z","-29.89894","3.35856","116.2","10.5","Sat-AIS",
"2018-08-13 22:59:58Z","-29.89871","3.35806","116.2","10.6","Sat-AIS",
"2018-08-13 22:59:58Z","-29.89871","3.35806","116.2","10.6","Sat-AIS",
"2018-08-13 22:59:58Z","-29.89871","3.35806","116.2","10.6","Sat-AIS",
"2018-08-13 22:59:58Z","-29.89871","3.35806","116.2","10.6","Sat-AIS",
"2018-08-13 22:59:40Z","-29.89828","3.35706","117","10.6","Sat-AIS",
"2018-08-13 22:59:39Z","-29.89828","3.35706","117","10.6","Sat-AIS",
"2018-08-13 22:59:28Z","-29.89804","3.35651","117.5","10.5","Sat-AIS",
"2018-08-13 22:59:20Z","-29.89783","3.35607","116.3","10.6","Sat-AIS",
"2018-08-13 22:59:19Z","-29.89783","3.35607","116.3","10.6","Sat-AIS",
"2018-08-13 22:59:10Z","-29.8976","3.35556","115.5","10.7","Sat-AIS",
"2018-08-13 22:59:09Z","-29.8976","3.35556","115.5","10.7","Sat-AIS",
"2018-08-13 22:59:09Z","-29.8976","3.35556","115.5","10.7","Sat-AIS",
"2018-08-13 22:58:58Z","-29.89738","3.35507","115.9","10.7","Sat-AIS",
"2018-08-13 22:58:40Z","-29.89694","3.35406","117.8","10.5","Sat-AIS",
