"MMSI","IMO","IR","Ship Name","Call Sign",
"372251000","9325037","N/A","COSMERRY LAKE","3EHV",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 21:46:29Z","22.45305","66.1991","323","12.1","Sat-AIS",
"2018-08-13 19:34:57Z","22.08123","66.48155","327","12.6","Sat-AIS",
"2018-08-13 19:28:48Z","22.06337","66.49461","327","12.3","Sat-AIS",
"2018-08-13 15:51:03Z","21.4322","66.94102","324","12.1","Sat-AIS",
"2018-08-13 12:37:34Z","21.11208","67.45959","301","10.5","Sat-AIS",
"2018-08-13 11:09:23Z","20.94437","67.68031","313","11.1","Sat-AIS",
"2018-08-13 06:06:31Z","20.31258","68.41032","306","10.7","Sat-AIS",
"2018-08-13 06:05:51Z","20.31137","68.41195","310","10.6","Sat-AIS",
"2018-08-13 06:02:41Z","20.3052","68.41955","311","10.7","Sat-AIS",
"2018-08-13 06:01:11Z","20.30227","68.42316","307","10.7","Sat-AIS",
"2018-08-13 04:33:43Z","20.10202","68.629","316","11.1","Sat-AIS",
"2018-08-13 02:40:32Z","19.84882","68.89813","311","11","Sat-AIS",
"2018-08-13 02:40:32Z","19.84882","68.89813","311","11","Sat-AIS",
"2018-08-13 02:38:22Z","19.84418","68.90318","312","10.8","Sat-AIS",
"MMSI","IMO","IR","Ship Name","Call Sign",
"355015000","9294563","N/A","PIS PIONEER","H8UX",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 23:52:25Z","-35.00759","19.22473","281.2","10.6","Sat-AIS",
"2018-08-13 23:41:55Z","-35.01022","19.26365","273","10.9","Sat-AIS",
"2018-08-13 23:36:45Z","-35.0113","19.28215","277.1","10.5","Sat-AIS",
"2018-08-13 23:34:44Z","-35.01175","19.28937","275.9","10.7","Sat-AIS",
"2018-08-13 23:09:45Z","-35.0168","19.38066","274.9","11.2","Sat-AIS",
"2018-08-13 23:06:43Z","-35.01762","19.39208","272.8","11.2","Sat-AIS",
"2018-08-13 23:06:32Z","-35.01767","19.39277","273.2","11.6","Sat-AIS",
"2018-08-13 23:06:13Z","-35.01773","19.39392","275","11.3","Sat-AIS",
"2018-08-13 23:05:43Z","-35.01783","19.39584","277.4","11.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:23Z","-35.01667","19.39667","278","5.5","Sat-AIS",
"2018-08-13 23:05:22Z","-35.01667","19.39667","278","5.5","Sat-AIS",
