"MMSI","IMO","IR","Ship Name","Call Sign",
"538005797","9437177","N/A","OLYMPIC TRUST","A8VF6",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 23:36:08Z","19.60246","-108.79434","305.5","12.3","Sat-AIS",
"2018-08-13 23:35:57Z","19.60213","-108.79385","305.7","12.3","Sat-AIS",
"2018-08-13 23:35:27Z","19.6011","-108.79231","306.1","12.3","Sat-AIS",
"2018-08-13 23:34:57Z","19.60013","-108.79088","306.1","12.4","Sat-AIS",
"2018-08-13 23:34:48Z","19.5998","-108.79038","305.7","12.3","Sat-AIS",
"2018-08-13 23:34:18Z","19.5988","-108.7889","306.8","12.4","Sat-AIS",
"2018-08-13 23:34:08Z","19.59846","-108.78841","305.4","12.3","Sat-AIS",
"2018-08-13 23:33:27Z","19.59711","-108.78643","304.4","12.3","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
"2018-08-13 23:33:08Z","19.59645","-108.78544","306.8","12.4","Sat-AIS",
