"MMSI","IMO","IR","Ship Name","Call Sign",
"636016212","9678800","N/A","MATHILDE OLDENDORFF","D5FA5",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 13:35:14Z","-15.88464","117.47074","351","12.5","Sat-AIS",
"2018-08-13 13:34:14Z","-15.88816","117.47137","350.5","12.5","Sat-AIS",
"2018-08-13 13:34:14Z","-15.88816","117.47137","350.5","12.5","Sat-AIS",
"2018-08-13 13:14:09Z","-15.95667","117.48","354","6","Sat-AIS",
"2018-08-13 13:10:22Z","-15.97148","117.48294","353.4","12.6","Sat-AIS",
"2018-08-13 13:08:41Z","-15.97734","117.48357","354","12.6","Sat-AIS",
"2018-08-13 13:08:22Z","-15.97851","117.4837","354.2","12.6","Sat-AIS",
"2018-08-13 13:08:11Z","-15.97909","117.48377","353.4","12.6","Sat-AIS",
"2018-08-13 12:59:36Z","-16.00944","117.48718","353.5","12.5","Sat-AIS",
"2018-08-13 12:59:22Z","-16.01002","117.48724","353.2","12.6","Sat-AIS",
"2018-08-13 12:53:25Z","-16.0312","117.48943","353.5","12.6","Sat-AIS",
"2018-08-13 12:53:14Z","-16.03179","117.48951","353.7","12.6","Sat-AIS",
"2018-08-13 12:53:11Z","-16.03167","117.48834","352","6","Sat-AIS",
"2018-08-13 12:52:45Z","-16.03351","117.48971","353.2","12.6","Sat-AIS",
"2018-08-13 12:50:45Z","-16.04057","117.49065","352.5","12.6","Sat-AIS",
"2018-08-13 12:50:15Z","-16.04239","117.49093","351.8","12.7","Sat-AIS",
"2018-08-13 12:50:15Z","-16.04239","117.49093","351.8","12.7","Sat-AIS",
"2018-08-13 12:50:15Z","-16.04239","117.49093","351.8","12.7","Sat-AIS",
"2018-08-13 12:50:12Z","-16.04167","117.49","351","6","Sat-AIS",
"2018-08-13 12:49:35Z","-16.04473","117.49129","351.1","12.7","Sat-AIS",
"2018-08-13 12:49:35Z","-16.04473","117.49129","351.1","12.7","Sat-AIS",
"2018-08-13 12:48:15Z","-16.04941","117.49223","348.3","12.7","Sat-AIS",
"2018-08-13 12:25:05Z","-16.13021","117.51183","346.4","12.8","Sat-AIS",
"2018-08-13 11:23:32Z","-16.34535","117.56538","346.3","12.7","Sat-AIS",
"2018-08-13 11:23:22Z","-16.34593","117.56551","347.1","12.7","Sat-AIS",
"2018-08-13 11:23:22Z","-16.34593","117.56551","347.1","12.7","Sat-AIS",
"2018-08-13 11:23:22Z","-16.34593","117.56551","347.1","12.7","Sat-AIS",
"2018-08-13 11:23:13Z","-16.34645","117.56564","347.1","12.7","Sat-AIS",
"2018-08-13 11:23:12Z","-16.34645","117.56564","347.1","12.7","Sat-AIS",
"2018-08-13 11:23:12Z","-16.34645","117.56564","347.1","12.7","Sat-AIS",
"2018-08-13 11:22:52Z","-16.34767","117.56593","347.6","12.7","Sat-AIS",
"2018-08-13 11:22:51Z","-16.34767","117.56593","347.6","12.7","Sat-AIS",
"2018-08-13 11:22:51Z","-16.34767","117.56593","347.6","12.7","Sat-AIS",
"2018-08-13 11:22:23Z","-16.34936","117.56632","346.8","12.7","Sat-AIS",
"2018-08-13 11:22:23Z","-16.34936","117.56632","346.8","12.7","Sat-AIS",
"2018-08-13 11:21:52Z","-16.35115","117.56675","346.5","12.7","Sat-AIS",
"2018-08-13 11:21:51Z","-16.35115","117.56675","346.5","12.7","Sat-AIS",
"2018-08-13 11:20:23Z","-16.35632","117.568","347.3","12.7","Sat-AIS",
"2018-08-13 11:20:14Z","-16.35684","117.56812","346.7","12.7","Sat-AIS",
"2018-08-13 11:20:13Z","-16.35684","117.56812","346.7","12.7","Sat-AIS",
"2018-08-13 11:20:13Z","-16.35684","117.56812","346.7","12.7","Sat-AIS",
"2018-08-13 11:20:08Z","-16.35667","117.56667","346","6","Sat-AIS",
"2018-08-13 11:20:02Z","-16.35753","117.5683","346.4","12.7","Sat-AIS",
"2018-08-13 11:18:32Z","-16.36267","117.5696","346.6","12.7","Sat-AIS",
"2018-08-13 11:18:23Z","-16.36324","117.56974","346.8","12.7","Sat-AIS",
"2018-08-13 11:17:09Z","-16.36667","117.57","345","6","Sat-AIS",
"2018-08-13 11:16:26Z","-16.37024","117.57152","346.2","12.7","Sat-AIS",
"2018-08-13 11:16:21Z","-16.37024","117.57152","346.2","12.7","Sat-AIS",
"2018-08-13 11:14:08Z","-16.37667","117.57333","346","6","Sat-AIS",
"2018-08-13 10:03:26Z","-16.61968","117.63405","345.4","12.5","Sat-AIS",
"2018-08-13 09:36:04Z","-16.71318","117.66099","343.6","12.7","Sat-AIS",
"2018-08-13 09:32:04Z","-16.72698","117.66493","344.7","12.7","Sat-AIS",
"2018-08-13 09:29:15Z","-16.73674","117.66774","343.8","12.9","Sat-AIS",
"2018-08-13 08:57:04Z","-16.84803","117.69768","347.2","13","Sat-AIS",
"2018-08-13 08:54:45Z","-16.85629","117.69972","345.9","13.1","Sat-AIS",
"2018-08-13 08:51:45Z","-16.86699","117.7026","346","13.1","Sat-AIS",
"2018-08-13 08:30:05Z","-16.94465","117.72405","344.7","13.2","Sat-AIS",
"2018-08-13 08:21:55Z","-16.97347","117.7325","344","13.1","Sat-AIS",
"2018-08-13 08:20:34Z","-16.97819","117.73393","344","13.1","Sat-AIS",
"MMSI","IMO","IR","Ship Name","Call Sign",
"563820000","9600437","N/A","EVER SHINE","AVFF",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 09:28:07Z","36.02833","120.23333","344","N/A","Sat-AIS",
"2018-08-13 09:25:07Z","36.02833","120.23333","344","N/A","Sat-AIS",
"2018-08-13 09:22:07Z","36.02833","120.23333","344","N/A","Sat-AIS",
"MMSI","IMO","IR","Ship Name","Call Sign",
"235112623","9750921","N/A","BERGE GROSSGLOCKNER","9V7896",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-13 13:34:04Z","-6.60899","75.89917","58.5","8.6","Sat-AIS",
"2018-08-13 13:34:04Z","-6.60899","75.89917","58.5","8.6","Sat-AIS",
"2018-08-13 13:26:14Z","-6.61897","75.88326","56.4","8.6","Sat-AIS",
"2018-08-13 13:26:14Z","-6.61897","75.88326","56.4","8.6","Sat-AIS",
"2018-08-13 13:26:14Z","-6.61897","75.88326","56.4","8.6","Sat-AIS",
"2018-08-13 13:12:32Z","-6.63656","75.85526","57.5","8.8","Sat-AIS",
"2018-08-13 12:51:14Z","-6.66386","75.81139","58.2","8.7","Sat-AIS",
"2018-08-13 12:17:24Z","-6.70861","75.74329","54.8","8.5","Sat-AIS",
"2018-08-13 11:44:04Z","-6.75362","75.67739","55.8","8.6","Sat-AIS",
"2018-08-13 11:13:15Z","-6.79534","75.61631","57.5","8.7","Sat-AIS",
"2018-08-13 11:13:15Z","-6.79534","75.61631","57.5","8.7","Sat-AIS",
"2018-08-13 11:13:15Z","-6.79534","75.61631","57.5","8.7","Sat-AIS",
"2018-08-13 10:41:53Z","-6.83738","75.55464","55.6","8.5","Sat-AIS",
"2018-08-13 10:12:08Z","-6.87675","75.49614","54.5","8.6","Sat-AIS",
"2018-08-13 10:11:28Z","-6.87767","75.4948","55.5","8.5","Sat-AIS",
"2018-08-13 09:55:14Z","-6.89902","75.46251","53.9","8.6","Sat-AIS",
"2018-08-13 09:49:33Z","-6.9066","75.45131","54.5","8.5","Sat-AIS",
"2018-08-13 09:21:14Z","-6.94528","75.39662","54","8.4","Sat-AIS",
"2018-08-13 09:11:11Z","-6.95954","75.37746","53.1","8.5","Sat-AIS",
"2018-08-13 09:10:51Z","-6.96004","75.37679","53.3","8.5","Sat-AIS",
"2018-08-13 09:10:42Z","-6.96025","75.3765","52.3","8.6","Sat-AIS",
"2018-08-13 09:09:33Z","-6.96194","75.37429","53.7","8.5","Sat-AIS",
"2018-08-13 09:02:11Z","-6.97228","75.36024","54.3","8.5","Sat-AIS",
"2018-08-13 08:40:47Z","-7.00312","75.31875","55.2","8.8","Sat-AIS",
"2018-08-13 08:40:37Z","-7.00336","75.31841","54.6","8.8","Sat-AIS",
"2018-08-13 08:39:58Z","-7.0043","75.31712","53.5","8.8","Sat-AIS",
"2018-08-13 08:39:34Z","-7.00501","75.31612","54.5","8.8","Sat-AIS",
"2018-08-13 08:39:34Z","-7.00501","75.31612","54.5","8.8","Sat-AIS",
"2018-08-13 08:38:58Z","-7.00573","75.31513","54.3","8.7","Sat-AIS",
"2018-08-13 08:38:47Z","-7.00599","75.31476","53.2","8.8","Sat-AIS",
"2018-08-13 08:38:47Z","-7.00599","75.31476","53.2","8.8","Sat-AIS",
"2018-08-13 08:38:37Z","-7.00623","75.31443","53.8","8.7","Sat-AIS",
"2018-08-13 08:38:27Z","-7.00645","75.31414","55","8.7","Sat-AIS",
"2018-08-13 08:37:18Z","-7.00811","75.31184","54.6","8.8","Sat-AIS",
"2018-08-13 08:36:58Z","-7.0086","75.31118","54.6","8.8","Sat-AIS",
"2018-08-13 08:36:27Z","-7.00931","75.31019","52.4","8.8","Sat-AIS",
"2018-08-13 08:36:18Z","-7.00954","75.3099","53.4","8.8","Sat-AIS",
"2018-08-13 08:34:59Z","-7.01152","75.30731","52.2","8.8","Sat-AIS",
"2018-08-13 08:33:27Z","-7.0138","75.30434","52.8","8.8","Sat-AIS",
"2018-08-13 08:32:27Z","-7.01525","75.30241","52.6","8.8","Sat-AIS",
"2018-08-13 08:07:34Z","-7.05228","75.2527","52.7","8.9","Sat-AIS",
"MMSI","IMO","IR","Ship Name","Call Sign",
"373657000","9603374","N/A","CAPE COSMOS","SVAT7",
"Timestamp","Lat","Lon","Heading","Speed","Source",
