"IMO","Name","Vessel.Type","MMSI","Call.Sign","Flag","AIS.Vessel.Type","Gross.Tonnage","Deadweight","Year.Built","Status","Length","Breadth"
9648908,"MARGRET OLDENDORFF","BULK CARRIER",636016352,"D5FS9","Liberia [LR]","Cargo",108051,208086,2014,"Active",299.88,50
9709506,"BERGE K2","ORE CARRIER",235111759,"2IPS3","United Kingdom [GB]","Cargo",133500,262583,2015,"Active",327,57
9398125,"OCEAN CREATION","BULK CARRIER",431461000,"7JYY","Japan [JP]","Cargo",106352,207935,2009,"Active",299.7,50
9304930,"CHINA STEEL ENTREPRENEUR","BULK CARRIER",416496000,"BHAB","Taiwan [TW]","Cargo",104380,203512,2007,"Active",299.9,50.56
9316567,"NABARIMA","FLOATING STORAGE/PRODUCTION",775072000,"YYJS","Venezuela [VE]","Unspecified",112213,207700,2005,"Active",264.37,52
9587245,"NEGONEGO","BULK CARRIER",229269000,"9HA3188","Malta [MT]","Cargo",106847,206046,2013,"Active",299.92,50
9587257,"HUAHINE","BULK CARRIER",229387000,"9HA3291","Malta [MT]","Cargo",106847,206037,2013,"Active",299.92,50
9756224,"ABOY SIENNA","BULK CARRIER",249420000,"9HA4236","Malta [MT]","Cargo",108237,208000,2017,"Active",299.88,50
9709518,"BERGE MAKALU","ORE CARRIER",235111764,"2IPS5","United Kingdom [GB]","Cargo",134693,262205,2016,"Active",327,57
9567996,"JASPER DREAM","BULK CARRIER",431019000,"7JSE","Japan [JP]","Cargo",107224,207547,2014,"Active",299.94,50
9762340,"MSC TINA","CONTAINER SHIP",636017867,"D5NB7","Liberia [LR]","Cargo",194308,200148,2017,"Active",398.5,59.08
9441946,"TOM PRICE","ORE CARRIER",432849000,"7JLR","Japan [JP]","Cargo",119446,226381,2012,"Active",319.58,54
9735165,"MAHARAJ","BULK CARRIER",210218000,"5BJW4","Cyprus [CY]","Cargo",107761,209472,2015,"Active",300,50
9713040,"HELGA OLDENDORFF","BULK CARRIER",255805804,"CQAB","Portugal [PT]","Cargo",107666,209172,2016,"Active",299.95,50
9767405,"PSU FIRST","BULK CARRIER",563860000,"9V5134","Singapore [SG]","Cargo",109824,210000,2017,"Active",299.87,49.05
9592422,"CHINA TRIUMPH","BULK CARRIER",477091400,"VRJO2","Hong Kong [HK]","Cargo",104361,203028,2011,"Active",299.9,50
9691929,"LINDA OLDENDORFF","BULK CARRIER",255805609,"CQFH","Portugal [PT]","Cargo",107413,207562,2014,"Active",299.97,50
9271597,"SHIN ONOE","BULK CARRIER",431084000,"7JSR","Japan [JP]","Cargo",102101,203248,2004,"Active",299.95,50
9702560,"CS EXPLORATION","BULK CARRIER",370359000,"3FMW7","Panama [PA]","Cargo",107100,209000,2015,"Active",299,50
9741786,"STELLA BELLA","ORE CARRIER",566710000,"9V3855","Singapore [SG]","Cargo",135472,250380,2016,"Active",325,57
9593218,"ANANGEL COURAGE","BULK CARRIER",241237000,"SVBR6","Greece [GR]","Cargo",106727,205888,2013,"Active",299.92,50
9531856,"CAPE CAMELLIA","BULK CARRIER",636016182,"D5EW9","Liberia [LR]","Cargo",106368,206400,2013,"Active",299.7,50
9713052,"HENRIETTE OLDENDORFF","BULK CARRIER",255805827,"CQAY","Portugal [PT]","Cargo",107666,209067,2016,"Active",299.95,50
9754965,"MSC REEF","CONTAINER SHIP",636017577,"D5LQ2","Liberia [LR]","Cargo",194308,200148,2016,"Active",398.4,59.08
9648295,"ANANGEL ELEGANCE","BULK CARRIER",241280000,"SVBV5","Greece [GR]","Cargo",106727,205960,2014,"Active",299.92,50.04
9000352,"BERGE MANASLU","BULK CARRIER",351953000,"3FQP7","Panama [PA]","Cargo",146817,263502,1992,"Active",338,58.36
9603386,"CAPE UNIVERSE","BULK CARRIER",373509000,"3FEY9","Panama [PA]","Cargo",106251,207856,2012,"Active",300,50
9695030,"SHANDONG HE XIE","ORE CARRIER",477712100,"VRNT3","Hong Kong [HK]","Cargo",135462,262062,2014,"Active",325,57
9754953,"MSC DITTE","CONTAINER SHIP",636017569,"D5LP2","Liberia [LR]","Cargo - Hazard A (Major)",194308,200148,2016,"Active",398.45,59.08
9758648,"GUANG YUAN HAI","BULK CARRIER",477636100,"VRQF7","Hong Kong [HK]","Cargo",108000,208000,2017,"Active",299.88,50
7360083,"BERGE HELENE","FLOATING STORAGE/PRODUCTION",310526000,"ZCDU8","Bermuda [BM]","Other",133871,274333,1976,"Active",348.75,51.87
9735191,"PSU TENTH","BULK CARRIER",563007600,"9V5222","Singapore [SG]","Cargo",107761,209546,2017,"Active",300,50
9757905,"KN AMETHYST","BULK CARRIER",563010400,"9V3912","Singapore [SG]","Cargo",107753,209461,2017,"Active",300,50
9115690,"GUOFENG FIRST","BULK CARRIER",566986000,"9V2187","Singapore [SG]","Cargo",108083,211320,1996,"Active",312,50.08
9752199,"STELLA TESS","BULK CARRIER",563008300,"9V3858","Singapore [SG]","Cargo",109224,210966,2017,"Active",300,49
9331426,"SHIN SETO","BULK CARRIER",636012726,"A8HJ3","Liberia [LR]","Cargo",101953,203264,2005,"Active",299.95,50
9588768,"CHINA PIONEER","BULK CARRIER",477598100,"VRKJ4","Hong Kong [HK]","Cargo",106884,206079,2012,"Active",299.92,50
9757917,"KN ARCADIA","BULK CARRIER",563017900,"9V3913","Singapore [SG]","Cargo",107753,209473,2017,"Active",300,50
9724635,"CONQUISTADOR","BULK CARRIER",249141000,"9HA4126","Malta [MT]","Cargo",107665,209090,2016,"Active",299.95,50
9621314,"CAPE ADVANCE","ORE CARRIER",636015917,"D5DM6","Liberia [LR]","Cargo",132587,251022,2013,"Active",329.95,57
9673147,"BISAN CLOVER","BULK CARRIER",431417000,"7JYR","Japan [JP]","Cargo",107060,209708,2013,"Active",299.99,50
9398149,"SHIN KORYU","BULK CARRIER",356849000,"3FSQ3","Panama [PA]","Cargo",106367,207991,2009,"Active",299.7,50
9591351,"RTM DRAKE","BULK CARRIER",564830000,"9V2779","Singapore [SG]","Cargo",106796,205437,2013,"Active",299.9,50
9755945,"MSC INGY","CONTAINER SHIP",636017434,"D5KX9","Liberia [LR]","Cargo - Hazard A (Major)",193489,202347,2016,"Active",399.97,58.84
9324136,"NSS HONESTY","ORE CARRIER",372631000,"3EJV7","Panama [PA]","Cargo",113628,230000,2007,"Active",327,52
9331517,"SHIN OHGISHIMA","BULK CARRIER",636013011,"A8JZ9","Liberia [LR]","Cargo",101953,203280,2006,"Active",299.95,50
9713442,"CAPE HARVEST","BULK CARRIER",372754000,"3FIT2","Panama [PA]","Cargo",107229,207532,2015,"Active",299.94,50
9634701,"FAKARAVA","BULK CARRIER",256848000,"9HA2944","Malta [MT]","Cargo",106847,206160,2012,"Active",299.92,50
9621273,"NSU PRIDE","ORE CARRIER",357965000,"3EYI2","Panama [PA]","Cargo",132868,250821,2014,"Active",329.95,57
9735177,"STAR POSEIDON","BULK CARRIER",538006064,"V7JK4","Marshall Is [MH]","Cargo",107761,209475,2016,"Active",300,50
9755957,"MSC ELOANE","CONTAINER SHIP",636017435,"D5KY2","Liberia [LR]","Cargo - Hazard A (Major)",193489,201792,2016,"Active",400,58.85
9683104,"PACIFIC ASSURANCE","BULK CARRIER",565199000,"9V2620","Singapore [SG]","Cargo",107222,207842,2014,"Active",299.94,50
9516507,"ZHONG XING HAI","BULK CARRIER",370138000,"3FXV2","Panama [PA]","Cargo",105936,207978,2011,"Active",300,50
9757591,"HL PORT WALCOTT","BULK CARRIER",538006759,"V7HH5","Marshall Is [MH]","Cargo",107448,208864,2017,"Active",299.95,50
9691943,"LEOPOLD OLDENDORFF","BULK CARRIER",255805612,"CQFK","Portugal [PT]","Cargo",107413,207562,2015,"Active",299.97,50
9474034,"ZHI DA","ORE CARRIER",477739200,"VRJX2","Hong Kong [HK]","Cargo",116396,228749,2012,"Active",324.99,52.5
9750921,"BERGE GROSSGLOCKNER","BULK CARRIER",235112623,"2ITG3","United Kingdom [GB]","Cargo",109716,211170,2017,"Active",300,49
9398137,"ONOZURU MARU","BULK CARRIER",354043000,"3FJR5","Panama [PA]","Cargo",106367,207973,2009,"Active",299.7,50
9762338,"MSC MIRJA","CONTAINER SHIP",636017516,"D5LI6","Liberia [LR]","Cargo - Hazard A (Major)",194308,200148,2016,"Active",398.49,59.01
9592434,"CHINA PROSPERITY","BULK CARRIER",477340500,"VRJW6","Hong Kong [HK]","Cargo",104361,203028,2012,"Active",299.9,50
9591375,"RTM TASMAN","BULK CARRIER",564849000,"9V2782","Singapore [SG]","Cargo",106796,205431,2013,"Active",299.9,50
9621352,"HBIS","ORE CARRIER",636016676,"D5HG2","Liberia [LR]","Cargo",132588,250868,2014,"Active",329.95,57
9337145,"SHIN EI","BULK CARRIER",432919000,"7JOA","Japan [JP]","Cargo",106384,207933,2008,"Active",299.7,50
9479254,"DAMPIER MARU","BULK CARRIER",373421000,"3FCV7","Panama [PA]","Cargo",106368,206490,2012,"Active",299.7,50
9731779,"OCEAN ATLANTIC","ORE CARRIER",477023900,"VRPT9","Hong Kong [HK]","Cargo",134692,262000,2017,"Active",325,57
9675652,"BERGE DAISEN","BULK CARRIER",373408000,"3FYI7","Panama [PA]","Cargo",107229,207872,2014,"Active",299.94,50
9731444,"STAR LIBRA","BULK CARRIER",538006398,"V7MQ9","Marshall Is [MH]","Cargo",108237,207765,2016,"Active",299.88,50
9670054,"CAPE VERDE","BULK CARRIER",563640000,"9V2304","Singapore [SG]","Cargo",107054,209804,2013,"Active",299.99,50
9312250,"AZUL LIBERO","BULK CARRIER",564690000,"9VMU5","Singapore [SG]","Cargo",101933,203278,2004,"Active",299.95,50
9718387,"HANS OLDENDORFF","BULK CARRIER",255805873,"CQZT","Portugal [PT]","Cargo",107684,209200,2017,"Active",299.95,50
