"MMSI","IMO","IR","Ship Name","Call Sign",
"636016212","9678800","N/A","MATHILDE OLDENDORFF","D5FA5",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-11 16:37:25+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 16:37:24+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 16:37:24+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 16:16:24+00:00","20°19'40"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 16:16:24+00:00","20°19'40"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 16:16:24+00:00","20°19'40"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 16:16:24+00:00","20°19'40"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 16:04:28+00:00","20°19'40"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 15:34:27+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 15:28:29+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 14:55:22+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 14:55:21+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 14:55:21+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 14:44:05+00:00","20°19'36"S","118°34'12"E","111","N/A","Sat-AIS",
"2018-08-11 14:43:23+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 14:40:27+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 14:38:07+00:00","20°19'36"S","118°34'12"E","111","N/A","Sat-AIS",
"2018-08-11 14:38:07+00:00","20°19'36"S","118°34'12"E","111","N/A","Sat-AIS",
"2018-08-11 14:35:08+00:00","20°19'36"S","118°34'12"E","111","N/A","Sat-AIS",
"2018-08-11 14:35:05+00:00","20°19'36"S","118°34'12"E","111","N/A","Sat-AIS",
"2018-08-11 14:34:27+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 14:34:25+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 14:34:25+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 13:46:23+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 13:13:23+00:00","20°19'40"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 13:10:26+00:00","20°19'40"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 12:29:05+00:00","20°19'36"S","118°34'12"E","111","N/A","Sat-AIS",
"2018-08-11 12:28:22+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 12:28:22+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 11:50:04+00:00","20°19'36"S","118°34'12"E","111","N/A","Sat-AIS",
"2018-08-11 11:25:20+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 10:16:25+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 10:14:05+00:00","20°19'36"S","118°34'12"E","111","N/A","Sat-AIS",
"2018-08-11 09:46:26+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 09:40:25+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 09:40:25+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 09:37:28+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 08:31:23+00:00","20°19'41"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 06:49:24+00:00","20°19'40"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 06:49:24+00:00","20°19'40"S","118°34'17"E","111.9","N/A","Sat-AIS",
"2018-08-11 06:49:24+00:00","20°19'40"S","118°34'17"E","111.9","N/A","Sat-AIS",
"MMSI","IMO","IR","Ship Name","Call Sign",
"235112623","9750921","N/A","BERGE GROSSGLOCKNER","9V7896",
"Timestamp","Lat","Lon","Heading","Speed","Source",
"2018-08-11 16:54:55+00:00","10°21'37"S","070°19'11"E","54.4","10.4","Sat-AIS",
"2018-08-11 16:44:12+00:00","10°22'41"S","070°17'39"E","54.9","10.4","Sat-AIS",
"2018-08-11 16:43:33+00:00","10°22'45"S","070°17'34"E","54.8","10.5","Sat-AIS",
"2018-08-11 16:43:33+00:00","10°22'45"S","070°17'34"E","54.8","10.5","Sat-AIS",
"2018-08-11 16:43:12+00:00","10°22'47"S","070°17'31"E","55","10.5","Sat-AIS",
"2018-08-11 16:43:12+00:00","10°22'47"S","070°17'31"E","55","10.5","Sat-AIS",
"2018-08-11 16:42:12+00:00","10°22'53"S","070°17'22"E","54.7","10.5","Sat-AIS",
"2018-08-11 16:42:12+00:00","10°22'53"S","070°17'22"E","54.7","10.5","Sat-AIS",
"2018-08-11 16:41:52+00:00","10°22'55"S","070°17'19"E","54.7","10.4","Sat-AIS",
"2018-08-11 16:40:12+00:00","10°23'06"S","070°17'05"E","54.4","10.4","Sat-AIS",
"2018-08-11 16:39:13+00:00","10°23'12"S","070°16'56"E","54.4","10.4","Sat-AIS",
"2018-08-11 16:28:15+00:00","10°24'18"S","070°15'22"E","53.9","10.4","Sat-AIS",
"2018-08-11 16:21:13+00:00","10°25'01"S","070°14'23"E","54.6","10.3","Sat-AIS",
"2018-08-11 15:51:22+00:00","10°27'55"S","070°10'10"E","54.4","10.2","Sat-AIS",
"2018-08-11 15:51:22+00:00","10°27'55"S","070°10'10"E","54.4","10.2","Sat-AIS",
"2018-08-11 15:50:53+00:00","10°27'58"S","070°10'05"E","53.8","10.2","Sat-AIS",
"2018-08-11 15:50:53+00:00","10°27'58"S","070°10'05"E","53.8","10.2","Sat-AIS",
"2018-08-11 15:49:53+00:00","10°28'04"S","070°09'57"E","54.2","10.1","Sat-AIS",
"2018-08-11 15:47:03+00:00","10°28'21"S","070°09'33"E","54.5","10.1","Sat-AIS",
"2018-08-11 15:47:02+00:00","10°28'21"S","070°09'33"E","54.5","10.1","Sat-AIS",
"2018-08-11 15:46:43+00:00","10°28'22"S","070°09'30"E","54.6","10.1","Sat-AIS",
"2018-08-11 15:46:22+00:00","10°28'24"S","070°09'28"E","55.2","10.1","Sat-AIS",
"2018-08-11 15:45:22+00:00","10°28'30"S","070°09'19"E","56","10.1","Sat-AIS",
"2018-08-11 15:45:13+00:00","10°28'31"S","070°09'18"E","56.5","10.1","Sat-AIS",
"2018-08-11 15:44:22+00:00","10°28'36"S","070°09'11"E","55.7","10.2","Sat-AIS",
"2018-08-11 15:44:02+00:00","10°28'38"S","070°09'08"E","56.1","10.1","Sat-AIS",
"2018-08-11 15:20:05+00:00","10°30'56"S","070°05'46"E","55.8","10.1","Sat-AIS",
"2018-08-11 15:19:24+00:00","10°31'00"S","070°05'40"E","56.5","10","Sat-AIS",
"2018-08-11 15:10:32+00:00","10°31'51"S","070°04'27"E","54.9","9.9","Sat-AIS",
"2018-08-11 15:09:53+00:00","10°31'55"S","070°04'21"E","55","10","Sat-AIS",
"2018-08-11 15:08:53+00:00","10°32'01"S","070°04'13"E","56","10","Sat-AIS",
"2018-08-11 15:08:32+00:00","10°32'03"S","070°04'10"E","55.2","10","Sat-AIS",
"2018-08-11 15:08:32+00:00","10°32'03"S","070°04'10"E","55.2","10","Sat-AIS",
"2018-08-11 15:08:22+00:00","10°32'03"S","070°04'09"E","54.9","10","Sat-AIS",
"2018-08-11 15:07:53+00:00","10°32'06"S","070°04'05"E","54.7","10","Sat-AIS",
"2018-08-11 15:07:44+00:00","10°32'07"S","070°04'03"E","54.5","10","Sat-AIS",
"2018-08-11 15:07:43+00:00","10°32'07"S","070°04'03"E","54.5","10","Sat-AIS",
"2018-08-11 15:06:54+00:00","10°32'12"S","070°03'56"E","55.3","9.9","Sat-AIS",
"2018-08-11 15:06:53+00:00","10°32'12"S","070°03'56"E","55.3","9.9","Sat-AIS",
"2018-08-11 15:06:43+00:00","10°32'13"S","070°03'55"E","55.4","9.9","Sat-AIS",
